Feature,SHAP Value,instance
SoSRMInvkElement,0.0,4
MixedPfxDo,0.0,4
SoPfxFind,0.0,4
SiPfxExec,0.0,4
SiPfxSave,0.0,4
SiPfxRun,0.0,4
SoSRMInvkParse,0.0,4
SoSRMInvkFind,0.0,4
SoSRMInvkPull,0.0,4
SoSRMInvkAs,0.0,4
SoSRMInvkList,0.0,4
SoSRMInvkRemove,0.0,4
MixedPfxMove,0.0,4
SoPfxRemove,0.0,4
ConcreteMtd,0.0,4
DbParamNR,0.0,4
WebRtnNR,0.0,4
DbNR,0.0,4
LogParamNR,0.0,4
LogRtnNR,0.0,4
LogNR,0.0,4
WebNR,0.0,4
SRMDfParam,0.0,4
XmlNR,0.0,4
SoSRMInvkPoll,0.0,4
SiSRMInvkSave,0.0,4
SiSRMInvkAdd,0.0,4
SiSRMInvkExec,0.0,4
SiSRMInvkLog,0.0,4
SiSRMInvkSend,0.0,4
SiSRMInvkFine,0.0,4
SiSRMInvkWarn,0.0,4
SiSRMInvkTrace,0.0,4
SiSRMInvkInfo,0.0,4
GeneralNR,0.0,4
SiSRMInvkDebug,0.0,4
FileNR,0.0,4
SiSRMInvkConfig,0.0,4
SiSRMInvkFormat,0.0,4
SiSRMInvkOffer,0.0,4
SiSRMInvkError,0.0,4
SiSRMInvkFatal,0.0,4
SiSRMInvkEval,0.0,4
SiSRMInvkPush,0.0,4
SiSRMInvkInsert,0.0,4
SiSRMInvkPrint,0.0,4
ParamTypCtnStr[],0.0,4
ParamDfSRM,0.0,4
GuiRtnNR,0.0,4
XmlRtnNR,0.0,4
GuiNR,0.0,4
tag,0.0,4
SoPfxParse,-3.6905414353527455e-05,4
SoPfxGet,-0.0005827551383079,4
GuiParamNR,-0.0007587237583272,4
SoSRMInvkGet,-0.000775828125778,4
SiPfxLog,-0.0010417544228319,4
SiPfxAdd,-0.0010578321047717,4
SoSRMInvkRead,-0.0010711279579005,4
SiSRMInvkWrite,-0.0012708790235926,4
ParamTypCtnChar[],-0.0012990630809762,4
IsAbstractCls,-0.0013343724794873,4
GeneralRtnNR,-0.0015943169999172,4
ClsNmCtnGeneral,-0.0016594078655303,4
MixedPfxTyp,-0.0017833198914175,4
XmlParamNR,-0.0023971496367203,4
SRMDfThis,-0.0026038156836692,4
SiPfxUpdate,-0.0034096148766587,4
ClsNmCtnXml,-0.0042301237287789,4
DbRtnNR,-0.0044890678175728,4
ParamTypCtnByte[],-0.0056735777462765,4
PrimitiveParam,-0.0059220879602777,4
SiPfxSet,-0.0086850684476899,4
