Feature,SHAP Value,Source
SiSRMInvkInfo,0.0,3
SiSRMInvkFine,0.0,3
WebNR,0.0,3
XmlParamNR,0.0,3
GuiRtnNR,0.0,3
FileNR,0.0,3
SiPfxLog,-1.1770407405964356e-06,3
SoPfxParse,-2.1616931489623625e-06,3
MixedSRMInvkDo,-9.41725114554301e-05,3
SiSRMInvkExec,-0.0002143678864775,3
IsAbstractCls,-0.0003977220266913,3
ClsNmCtnGui,-0.0006705451461021,3
LogParamNR,-0.0007620807819539,3
DbParamNR,-0.0014504918549736,3
SiSRMInvkSet,-0.0022690748380324,3
SiSRMInvkSend,-0.0022886929076153,3
SoSRMInvkRead,-0.0024760098741169,3
IsInterface,-0.0024956747404844,3
SiSRMInvkTrace,-0.0027642843952359,3
MtdNm,-0.0028480896014118,3
FileRtnNR,-0.0037441125983353,3
IsConcreteCls,-0.0038160615516631,3
SiPfxPrint,-0.0053590069048889,3
SoSRMInvkGet,-0.0108556323291134,3
ClsNmCtnWeb,-0.019155048862152,3
ClsNmCtnFile,-0.0225745958158377,3
SoPfxRead,-0.0248145097369208,3
SoPfxTyp,-0.0583552200689398,3
SiPfxTyp,-0.0641817334996955,3
SoSRMInvkGet,0.3529651023701649,4
ParamDfThis,0.1367292924149425,4
SRMDfThis,0.1227011785684095,4
SoPfxTyp,0.0655978757152461,4
ParamTypCtnStr,0.0495214043131312,4
SRMDfRet,0.0445714272417532,4
SoPfxRead,0.0403202824676111,4
SiSRMInvkInsert,0.03261892764575,4
SiSRMInvkOffer,0.0074927224664868,4
SiPfxTyp,0.0074135308494872,4
SiSRMInvkLog,0.0049069647178802,4
MixedSRMInvkMove,0.0044182605588436,4
SiSRMInvkWrite,0.0040237373491632,4
MixedPfxCopy,0.0039963560692796,4
ClsNmCtnXml,0.0022885726010804,4
DbRtnNR,0.0017603326627837,4
GeneralRtnNR,0.0015517239391824,4
SiSRMInvkSevere,0.0008330926941957,4
PrimitiveParam,0.0001249279022752,4
SiSRMInvkUpdate,5.493886423510452e-05,4
ParamTypCtnChar[],1.6291865590659788e-05,4
SiPfxExec,2.00465062272226e-07,4
MixedSRMInvkCopy,0.0,4
SiPfxPrint,0.0,4
SiPfxRun,0.0,4
SiSRMInvkSave,0.0,4
SoSRMInvkElement,0.0,4
SoSRMInvkPull,0.0,4
MixedPfxMove,0.0,4
SoPfxFind,0.0,4
SiPfxEval,0.0,4
SiPfxSave,0.0,4
SiPfxSend,0.0,4
SoSRMInvkRemove,0.0,4
SoSRMInvkParse,0.0,4
SoSRMInvkPeek,0.0,4
SoSRMInvkAs,0.0,4
SoSRMInvkList,0.0,4
SoSRMInvkFind,0.0,4
SoPfxRemove,0.0,4
MixedPfxDo,0.0,4
tag,0.0,4
ConcreteMtd,0.0,4
SRMDfParam,0.0,4
GuiParamNR,0.0,4
WebParamNR,0.0,4
DbParamNR,0.0,4
WebRtnNR,0.0,4
DbNR,0.0,4
LogNR,0.0,4
SoSRMInvkRetrieve,0.0,4
SiSRMInvkAdd,0.0,4
SiSRMInvkSet,0.0,4
MixedSRMInvkDo,0.0,4
SoSRMInvkPoll,0.0,4
SiSRMInvkRun,0.0,4
SiSRMInvkPrint,0.0,4
SiSRMInvkFine,0.0,4
SiSRMInvkConfig,0.0,4
GeneralNR,0.0,4
SiSRMInvkDebug,0.0,4
FileNR,0.0,4
WebNR,0.0,4
SiSRMInvkSend,0.0,4
SiSRMInvkEval,0.0,4
SiSRMInvkFormat,0.0,4
SiSRMInvkPush,0.0,4
SiSRMInvkError,0.0,4
SiSRMInvkFatal,0.0,4
SiSRMInvkInfo,0.0,4
SiSRMInvkTrace,0.0,4
SiSRMInvkWarn,0.0,4
SiSRMInvkExec,0.0,4
ParamDfSRM,0.0,4
LogRtnNR,0.0,4
XmlNR,0.0,4
XmlRtnNR,0.0,4
GuiNR,0.0,4
GuiRtnNR,0.0,4
SiPfxAdd,-3.775307889225532e-08,4
MixedPfxTyp,-1.2023274058303726e-07,4
SiPfxUpdate,-7.202524503618912e-07,4
SiPfxLog,-9.605791146533038e-07,4
SoPfxParse,-1.321207958024373e-06,4
SiPfxSet,-0.0001203974652717,4
ClsNmCtnLog,-0.0008249773752974,4
ClsNmCtnGeneral,-0.0010155561015964,4
SiPfxWrite,-0.0010233257298289,4
