row,dataset_row,base_value,prediction,ClsNmCtnEncod,ParamDfRtn,MtdModFINAL,RtnTypByte[],MtdModPUBLIC,ClsEscapInvkd,MtdSanitiInvkd,ParamTypCtnStringbuilder,ClsNmEndsEncoder,MtdNmStrtSet,ClsSTATIC,MtdNmCtnEscapeNotUnescape,MtdNmCtnUnescape,MtdNmCtnStrip,MtdNmStrtPut,MethodEncodInvkd,MtdNmCtnVerif,MtdNmStrtGet,MtdNmCtnEncodNotEncoding,ParamTypEqRtnTyp,ImplicitMtd,ClsNmCtnPage,ClsFINAL,ClsEncodInvkd,RtnTypCharSequence,MethodEscapInvkd,MethodMatchInvkd,MethodRegexInvkd,ParamTypCtnChar[],RtnTypStr,MtdNmCtnReplac,ClsNmCtnValid,MethodStripInvkd,MtdConstructor,ClsNmCtnEscap,ParamTypCtnStr,ParamTypCtnCharsequence,MtdNmStrtHas,ParamTypCtnByte[],MtdNmCtnRegex,ClsRegexInvkd,MtdReplacInvkd,MtdCtnParams,ClsNmCtnSaniti,ClsSanitiInvkd,MtdModSTATIC,MtdNmCtnSaniti,ClsPUBLIC
10,4483,0.012,-3.469446951953614e-18,-0.00025639663698903746,0.0,0.0,0.0,0.0,0.0,-0.0006210862926149503,0.0,-0.00011595698359601475,0.0,0.0,-0.0013451046480765863,-4.466959268802825e-05,0.0,0.0,-0.00011980959825037916,-6.857664319555652e-05,0.0,-0.0013482677025387281,-0.0004868294391201679,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001838639795199408,0.0,-8.117897837052942e-05,-0.0032944463486998666,-0.0005334018449675759,-0.00015133245831039683,0.0,0.0,0.0,-0.0007090881685452809,0.0,0.0,0.0,0.0,0.0,-1.3244614567703858e-05,-0.0018361035487188284,0.0,0.0,-0.0001408605164610419,-0.0005532938964523419,-9.648810831704852e-05
11,2534,0.012,-1.734723475976807e-18,0.0,0.0005994678321084379,0.0,0.002591401183671732,0.00030554282867644643,0.0,-0.0009812903797660406,0.0,-0.000810903676741665,0.0,0.0,-0.0017842614397755331,-0.0010065296789300827,0.0,0.0,0.00047583150941633156,0.0,0.0,0.01220995428354193,-0.0018003072399671676,0.0,0.0,0.0,0.0,0.0,0.0,-0.000276119862424668,0.0,-0.0004679847641849684,-0.009303692274166343,-0.0006748761748560864,0.0,0.0,0.0,0.0,-0.0016336084517366827,-0.0008131241369942082,0.0,0.000392012231016982,0.0,-0.00016602605943757655,-0.00030123004497404314,-0.007582619857021972,0.0,0.0,0.0,-0.0009716358274548236,0.0
12,9177,0.012,1.734723475976807e-18,-5.321853783309654e-05,0.0,0.0,-0.0001270053605919291,0.00013201001459715623,0.0,-0.0008493608811366253,0.0,-0.0001403220309036962,0.0,0.0,-0.002062408467309549,0.00014165497481327305,0.0,0.0,-0.00011485093741306342,0.0,0.0,-0.0023585403053441876,-0.0013750752297982851,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002890484537722793,0.0,-5.9962839612629415e-05,0.00201489041398066,-0.0006230925480676738,-0.00034297196945141993,0.0,0.0,0.0,-0.0009750995023764844,-0.00020959810120842952,0.0,-3.575125649664308e-05,0.0,-3.820315206615527e-05,0.0001035844651425498,-0.003610191670515303,0.0,0.0,-0.00021432098651008057,-0.0008034789898194375,-0.00010963864830666921
13,9176,0.012,-3.469446951953614e-18,-0.00010077010374306546,-1.9117837046059615e-05,-4.501541359409718e-05,-0.00010570893499419583,-1.5811460687757983e-05,0.0,-0.0005954239276532102,0.0,-0.000168416306821848,0.0,0.0,-0.0013349391855390655,-4.8945697189775536e-05,0.0,0.0,-7.078466452597578e-05,0.0,0.0,-0.001188975299474983,-0.0004950477560323536,0.0,0.0,-2.0663238424742465e-05,0.0,0.0,0.0,-0.00013226328606097333,0.0,0.0,-0.003186680998483948,-0.0005171133033056226,0.0,0.0,0.0,0.0,-0.0007777043248529685,0.0,0.0,-3.323605776362085e-05,0.0,0.0,-5.622285000314822e-05,-0.001936440028390677,0.0,0.0,-0.00027890403006481377,-0.0008226382657251794,-4.917702962192044e-05
14,7951,0.012,-1.734723475976807e-18,-6.734130771835957e-05,0.0,0.0,0.0,0.0,0.0,-0.0008391459123981394,0.0,-2.3381357173418116e-05,0.0,0.0,-0.0018112716356572956,0.0,0.0,0.0,-1.0855534839672711e-05,0.0,0.0,-0.0017488743847451894,-0.0005697041574357957,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018104726016175777,0.0,0.0,-0.004116940003674756,-0.0006457660915296111,-0.00020654017918164642,0.0,0.0,-3.888581524903295e-05,-0.0006606631906833038,-2.022609940551968e-05,0.0,0.0,0.0,-6.399476596084396e-05,-1.3140231959908015e-05,-9.81466842101931e-06,0.0,0.0,-0.00013870819336851242,-0.000833699210436219,0.0
15,2926,0.012,0.0,-6.340238351752214e-05,0.0,0.0,0.0,-2.400719655728887e-05,0.0,-0.0008772796326692291,0.0,-0.00010219169726275628,0.0,0.0,-0.0017630824765489698,0.0,0.0,0.0,0.0,0.0,0.0,-0.00161255943668528,-0.0006999527338661629,0.0,0.0,0.0,0.0,0.0,0.0,-2.2393104850024903e-05,0.0,0.0,-0.004072481385201671,-0.00058585026134671,-0.00021006084801812903,0.0,0.0,-0.00011470628143062062,-0.0007448968704562042,0.0,0.0,-1.3248852774460228e-05,0.0,-4.4671059542275495e-05,0.0,0.0,0.0,0.0,-0.0001945042184478913,-0.0008547115608248043,0.0
16,1580,0.012,1.734723475976807e-18,-0.00017426681712824272,0.0,0.0,-4.337227255358292e-05,0.0,0.0,-0.0008389075790444766,0.0,-0.0002465630853141644,0.0,0.0,-0.0019977752733172775,0.0,0.0,0.0,-5.5424715430288684e-05,0.0,0.0,-0.0023734564351889772,-0.0015832699810594468,0.00019537856415715633,0.0,0.0,0.0,0.0,0.0,-6.749322071866933e-05,0.0,0.0,0.001997554582273102,-0.0009073029641976463,-0.00016499136669727519,0.0,0.0,0.0,-0.0012486496866472218,-5.032033396245849e-05,0.0,0.0,0.0,-5.961545877908782e-05,0.0,-0.003309946489591605,0.0,0.0,-0.00025420165241517485,-0.0008173758143846608,0.0
17,4598,0.012,-3.469446951953614e-18,-7.803635259270577e-05,0.0,0.0,0.0,0.0,0.0,-0.0007247949153926074,0.0,-8.342151322698687e-05,0.0,0.0,-0.0019708632044318653,0.0,0.0,0.0,-1.4435404166086071e-05,0.0,0.0,-0.0017671311037860216,-0.0004299385052318046,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016943989616577916,0.0,0.0,-0.004484235050410929,-0.0006478434123228506,-0.00018272606314081742,0.0,0.0,0.0,-0.0005838437262454619,0.0,0.0,-1.2754551520748579e-05,0.0,-2.662547265015617e-05,0.0,0.0,0.0,0.0,0.0,-0.0008115105430427568,-1.2400285672425904e-05
18,128,0.012,0.0,0.0,0.0,0.0,0.0002318607314756912,-6.768782239600525e-05,0.0,-0.0007427244773882055,0.0,-0.00018542520119574886,0.0,0.0,-0.0014461282345307172,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013719994057908263,-0.00038964375897498454,-4.8229779424560865e-05,0.0,0.0,0.0,0.0,0.0,-9.764760949151507e-05,0.0,-0.00012531133506884636,-0.0031361734414738674,-0.000581432987911708,-0.00031864706881645945,0.0,0.0,0.0,-0.0006524945474326609,0.0,0.0,-9.604669847444587e-05,0.0,0.0,-4.858241485293099e-05,-0.002093079406650173,0.0,0.0,-0.0002196621923490235,-0.0006109443492530123,0.0
19,438,0.012,0.0,-7.381817538864362e-05,0.0,0.0,0.0,-0.000454377276264095,0.0,-0.0008030880078161211,0.0,0.0,0.0,0.0,-0.0019457883279067473,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018815681589402261,-0.00034551199639832643,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001014488497510197,0.0,0.0,-0.004585399875945187,-0.000702930879246444,-0.00016434324118680703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7830769819919685e-05,-5.8363562006630974e-05,0.0,0.0,0.0,0.0,0.0,-0.0008355308793298322,0.0
