Feature,SHAP Value,Source
ParamTypCtnStringbuilder,0.0,4
ClasEscapInvkd,0.0,4
MtdMatchInvkd,0.0,4
MtdNmStrtPut,0.0,4
sanitizer,0.0,4
ParamTypEqRtnTyp,0.0178571428571428,5
MtdReplacInvkd,0.0064285714285714,5
MtdNmCtnReplac,0.0057142857142857,5
MtdNmCtnEncodNotEncoding,0.005,5
MtdNmStrtHas,0.0,5
ParamTypCtnCharsequence,0.0,5
MtdEscapInvkd,0.0,5
MtdNmCtnStrip,0.0,5
MtdNmCtnUnescape,0.0,5
MtdNmCtnVerif,0.0,5
ParamTypCtnStr,0.0,5
ParamDfRtn,0.0,5
MtdModPUBLIC,0.0,5
ClsPUBLIC,0.0,5
ClsNmCtnEncod,0.0,5
ClsSTATIC,0.0,5
ClasRegexInvkd,0.0,5
ClsNmEndsEncoder,0.0,5
MtdNmCtnEscapeNotUnescape,0.0,5
ClsFINAL,0.0,5
MtdNmCtnRegex,0.0,5
MtdStripInvkd,0.0,5
ClasSanitiInvkd,0.0,5
MtdConstructor,0.0,5
ClasEncodInvkd,0.0,5
ImplicitMtd,0.0,5
RtnTypCharsequence,0.0,5
MtdNmCtnSaniti,0.0,5
MtdNmStrtSet,0.0,5
ClsNmCtnSaniti,0.0,5
MtdEncodInvkd,0.0,5
RtnTypByte[],0.0,5
ClsNmCtnValid,0.0,5
ClasEscapInvkd,0.0,5
MtdSanitiInvkd,0.0,5
MtdNmStrtGet,0.0,5
MtdRegexInvkd,0.0,5
MtdModFINAL,0.0,5
ClsNmCtnPage,0.0,5
ParamTypCtnChar[],0.0,5
MtdCtnParams,0.0,5
MtdNmStrtPut,0.0,5
ClsNmCtnEscap,0.0,5
ParamTypCtnByte[],0.0,5
ParamTypCtnStringbuilder,0.0,5
sanitizer,0.0,5
MtdMatchInvkd,0.0,5
RtnTypStr,-0.0007142857142857,5
MtdModSTATIC,-0.0042857142857142,5
MtdReplacInvkd,0.02,6
MtdNmCtnReplac,0.0192857142857143,6
MtdNmCtnEncodNotEncoding,0.01,6
MtdModFINAL,0.0028571428571428,6
MtdNmStrtHas,0.0,6
ParamTypCtnCharsequence,0.0,6
MtdNmCtnUnescape,0.0,6
MtdNmCtnStrip,0.0,6
ClasRegexInvkd,0.0,6
ParamTypCtnStr,0.0,6
MtdModPUBLIC,0.0,6
ParamDfRtn,0.0,6
ClsNmCtnEncod,0.0,6
MtdNmCtnEscapeNotUnescape,0.0,6
MtdEscapInvkd,0.0,6
ClsSTATIC,0.0,6
MtdNmCtnVerif,0.0,6
ClsNmEndsEncoder,0.0,6
