Feature,SHAP Value,instance
ClsNmCtnLog,0.0109317333770159,4
ClsNmCtnFile,0.0085529649730836,4
SoPfxRead,0.0082373514609975,4
SiSRMInvkWrite,0.0081068325840591,4
SiPfxLog,0.0058946916980444,4
ClsNmCtnGeneral,0.0048905566368675,4
SoSRMInvkParse,0.0047011984045243,4
SRMDfThis,0.0041238006821485,4
SoSRMInvkRead,0.0027453717401814,4
FileRtnNR,0.0021401002969631,4
DbRtnNR,0.0015910302350108,4
SiPfxAdd,0.0015333386041966,4
SoPfxGet,0.0012506438411978,4
ParamTypCtnStr[],0.0008556903331382,4
SiPfxUpdate,0.0007577602213999,4
ClsNmCtnXml,0.0006945978831388,4
WebParamNR,0.0004155856638555,4
IsInterface,0.000392991044681,4
ClsNmCtnGui,0.0003813327992988,4
GeneralRtnNR,0.0002329656843225,4
SoPfxParse,4.323386297910847e-06,4
MixedSRMInvkCopy,0.0,4
MixedSRMInvkMove,0.0,4
MixedPfxMove,0.0,4
MixedPfxDo,0.0,4
SoPfxFind,0.0,4
SoPfxRemove,0.0,4
SiPfxRun,0.0,4
SiPfxPrint,0.0,4
SiPfxEval,0.0,4
SoSRMInvkFind,0.0,4
SoSRMInvkRemove,0.0,4
SoSRMInvkAs,0.0,4
SoSRMInvkPeek,0.0,4
SoSRMInvkPoll,0.0,4
SoSRMInvkList,0.0,4
SiPfxSave,0.0,4
ConcreteMtd,0.0,4
tag,0.0,4
SRMDfParam,0.0,4
ParamDfSRM,0.0,4
GuiNR,0.0,4
GuiRtnNR,0.0,4
LogParamNR,0.0,4
DbNR,0.0,4
SoSRMInvkRetrieve,0.0,4
SoSRMInvkElement,0.0,4
SoSRMInvkPull,0.0,4
SiSRMInvkAdd,0.0,4
SiSRMInvkSet,0.0,4
MixedSRMInvkDo,0.0,4
SiSRMInvkUpdate,0.0,4
SiSRMInvkSave,0.0,4
WebNR,0.0,4
WebRtnNR,0.0,4
LogRtnNR,0.0,4
SiSRMInvkExec,0.0,4
SiSRMInvkInsert,0.0,4
SiSRMInvkPrint,0.0,4
SiSRMInvkPush,0.0,4
SiSRMInvkEval,0.0,4
SiSRMInvkTrace,0.0,4
SiSRMInvkWarn,0.0,4
SiSRMInvkSevere,0.0,4
SiSRMInvkInfo,0.0,4
SiSRMInvkFine,0.0,4
SiSRMInvkError,0.0,4
SiSRMInvkFatal,0.0,4
SiSRMInvkOffer,0.0,4
SiSRMInvkDebug,0.0,4
LogNR,0.0,4
GeneralNR,0.0,4
FileNR,0.0,4
SiSRMInvkConfig,0.0,4
XmlNR,0.0,4
XmlParamNR,0.0,4
XmlRtnNR,0.0,4
FileParamNR,-5.529831733491752e-07,4
SiPfxExec,-0.0010395198235198,4
MixedPfxTyp,-0.0010401346868454,4
MixedPfxCopy,-0.0011718221873611,4
GeneralParamNR,-0.001319119797936,4
SiSRMInvkSend,-0.0014604292564171,4
SiPfxSet,-0.0016139158421504,4
SoPfxTyp,-0.0019190644852274,4
ParamTypCtnChar[],-0.0030730503350713,4
SiPfxSend,-0.0041979139033272,4
SiPfxTyp,-0.0042850445280591,4
SiSRMInvkLog,-0.0059645194325032,4
