Feature,SHAP Value,Source
MtdUnescapInvkd,0.0,7
MtdConstructor,0.0,7
ImplicitMtd,0.0,7
ClsNmCtnHtml,0.0,7
SoMtdRtnReq,0.0,7
MtdRtnsConst,0.0,7
RtnTypStr,0.0,7
MtdFrmClsSqlInvkd,0.0,7
MtdNmStrtGet,0.0,7
MtdModPRIVATE,0.0,7
ParamTypCtnDb,0.0,7
RtnTypReq,0.0,7
SoMtdRtnGet,0.0,7
MtdNmCtnObject,0.0,7
InnerCls,0.0,7
source,0.0,7
MtdNmCtnReadNotThread,0.0,8
MtdDecodInvkd,0.0,8
MtdLoadInvkd,0.0,8
RtnTypServlet,0.0,8
MtdFrmClswebInvkd,0.0,8
MtdNmCtnStream,0.0,8
MtdNmCtnCreat,0.0,8
ParamTypCtnSql,0.0,8
ClsNmCtnWeb,0.0,8
ParamTypCtnStr,0.0,8
ClsNmCtnSecurity,0.0,8
MtdReqInvkd,0.0,8
ClsPUBLIC,0.0,8
ParamTypCtnIo,0.0,8
SoMtdRtnDecode,0.0,8
SoMtdRtnLoad,0.0,8
ClsFINAL,0.0,8
ClsNmCtnOutPut,0.0,8
MtdOutPutInvkd,0.0,8
RtnTypCharsequence,0.0,8
MtdCtnParams,0.0,8
MtdNmCtnUnescap,0.0,8
RtnTypByte[],0.0,8
MtdNmCtnDecod,0.0,8
MtdCreatInvkd,0.0,8
ParamTypCtnWeb,0.0,8
MtdReadInvkd,0.0,8
MtdModFINAL,0.0,8
MtdNmCtnPars,0.0,8
SoMtdRtnRead,0.0,8
ParamTypCtnChar[],0.0,8
ClsNmCtnIo,0.0,8
ParamTypCtnByte[],0.0,8
RtnTypNode,0.0,8
ClsNmCtnSql,0.0,8
MtdGetInvkd,0.0,8
SoMtdRtnUnescape,0.0,8
ClsNmCtnNet,0.0,8
MtdFrmClsIoInvkd,0.0,8
MtdFrmClsNetInvkd,0.0,8
ParamTypCtnCharsequence,0.0,8
MtdNmCtnName,0.0,8
ClsAnonymous,0.0,8
ClsSTATIC,0.0,8
MtdNmCtnReq,0.0,8
SoMtdRtnCreate,0.0,8
MtdFrmClsDbInvkd,0.0,8
RtnTypDocument,0.0,8
MtdModPUBLIC,0.0,8
MtdModSTATIC,0.0,8
MtdNmCtnRetriev,0.0,8
ClsNmCtnManager,0.0,8
MtdNmCtnLoadNotPayload,0.0,8
MtdUnescapInvkd,0.0,8
MtdConstructor,0.0,8
ImplicitMtd,0.0,8
ClsNmCtnHtml,0.0,8
SoMtdRtnReq,0.0,8
MtdRtnsConst,0.0,8
RtnTypStr,0.0,8
MtdFrmClsSqlInvkd,0.0,8
MtdNmStrtGet,0.0,8
MtdModPRIVATE,0.0,8
ParamTypCtnDb,0.0,8
RtnTypReq,0.0,8
SoMtdRtnGet,0.0,8
MtdNmCtnObject,0.0,8
InnerCls,0.0,8
source,0.0,8
MtdNmCtnReadNotThread,0.0,9
MtdDecodInvkd,0.0,9
MtdLoadInvkd,0.0,9
RtnTypServlet,0.0,9
MtdFrmClswebInvkd,0.0,9
MtdNmCtnStream,0.0,9
MtdNmCtnCreat,0.0,9
ParamTypCtnSql,0.0,9
ClsNmCtnWeb,0.0,9
ParamTypCtnStr,0.0,9
ClsNmCtnSecurity,0.0,9
MtdReqInvkd,0.0,9
ClsPUBLIC,0.0,9
ParamTypCtnIo,0.0,9
SoMtdRtnDecode,0.0,9
SoMtdRtnLoad,0.0,9
ClsFINAL,0.0,9
ClsNmCtnOutPut,0.0,9
MtdOutPutInvkd,0.0,9
RtnTypCharsequence,0.0,9
MtdCtnParams,0.0,9
MtdNmCtnUnescap,0.0,9
RtnTypByte[],0.0,9
MtdNmCtnDecod,0.0,9
MtdCreatInvkd,0.0,9
ParamTypCtnWeb,0.0,9
MtdReadInvkd,0.0,9
MtdModFINAL,0.0,9
MtdNmCtnPars,0.0,9
SoMtdRtnRead,0.0,9
ParamTypCtnChar[],0.0,9
ClsNmCtnIo,0.0,9
ParamTypCtnByte[],0.0,9
RtnTypNode,0.0,9
ClsNmCtnSql,0.0,9
MtdGetInvkd,0.0,9
SoMtdRtnUnescape,0.0,9
ClsNmCtnNet,0.0,9
MtdFrmClsIoInvkd,0.0,9
MtdFrmClsNetInvkd,0.0,9
ParamTypCtnCharsequence,0.0,9
MtdNmCtnName,0.0,9
ClsAnonymous,0.0,9
ClsSTATIC,0.0,9
MtdNmCtnReq,0.0,9
SoMtdRtnCreate,0.0,9
MtdFrmClsDbInvkd,0.0,9
RtnTypDocument,0.0,9
MtdModPUBLIC,0.0,9
MtdModSTATIC,0.0,9
MtdNmCtnRetriev,0.0,9
ClsNmCtnManager,0.0,9
MtdNmCtnLoadNotPayload,0.0,9
MtdUnescapInvkd,0.0,9
MtdConstructor,0.0,9
ImplicitMtd,0.0,9
ClsNmCtnHtml,0.0,9
SoMtdRtnReq,0.0,9
MtdRtnsConst,0.0,9
RtnTypStr,0.0,9
MtdFrmClsSqlInvkd,0.0,9
MtdNmStrtGet,0.0,9
MtdModPRIVATE,0.0,9
ParamTypCtnDb,0.0,9
RtnTypReq,0.0,9
SoMtdRtnGet,0.0,9
MtdNmCtnObject,0.0,9
InnerCls,0.0,9
source,0.0,9
MtdNmCtnReadNotThread,0.0,10
MtdDecodInvkd,0.0,10
MtdLoadInvkd,0.0,10
RtnTypServlet,0.0,10
MtdFrmClswebInvkd,0.0,10
MtdNmCtnStream,0.0,10
MtdNmCtnCreat,0.0,10
ParamTypCtnSql,0.0,10
ClsNmCtnWeb,0.0,10
ParamTypCtnStr,0.0,10
ClsNmCtnSecurity,0.0,10
MtdReqInvkd,0.0,10
ClsPUBLIC,0.0,10
ParamTypCtnIo,0.0,10
SoMtdRtnDecode,0.0,10
SoMtdRtnLoad,0.0,10
ClsFINAL,0.0,10
ClsNmCtnOutPut,0.0,10
MtdOutPutInvkd,0.0,10
RtnTypCharsequence,0.0,10
MtdCtnParams,0.0,10
MtdNmCtnUnescap,0.0,10
RtnTypByte[],0.0,10
MtdNmCtnDecod,0.0,10
MtdCreatInvkd,0.0,10
ParamTypCtnWeb,0.0,10
MtdReadInvkd,0.0,10
MtdModFINAL,0.0,10
MtdNmCtnPars,0.0,10
SoMtdRtnRead,0.0,10
ParamTypCtnChar[],0.0,10
ClsNmCtnIo,0.0,10
ParamTypCtnByte[],0.0,10
RtnTypNode,0.0,10
ClsNmCtnSql,0.0,10
MtdGetInvkd,0.0,10
SoMtdRtnUnescape,0.0,10
ClsNmCtnNet,0.0,10
MtdFrmClsIoInvkd,0.0,10
MtdFrmClsNetInvkd,0.0,10
ParamTypCtnCharsequence,0.0,10
MtdNmCtnName,0.0,10
ClsAnonymous,0.0,10
ClsSTATIC,0.0,10
MtdNmCtnReq,0.0,10
SoMtdRtnCreate,0.0,10
MtdFrmClsDbInvkd,0.0,10
RtnTypDocument,0.0,10
MtdModPUBLIC,0.0,10
MtdModSTATIC,0.0,10
MtdNmCtnRetriev,0.0,10
ClsNmCtnManager,0.0,10
MtdNmCtnLoadNotPayload,0.0,10
MtdUnescapInvkd,0.0,10
MtdConstructor,0.0,10
ImplicitMtd,0.0,10
ClsNmCtnHtml,0.0,10
SoMtdRtnReq,0.0,10
MtdRtnsConst,0.0,10
RtnTypStr,0.0,10
MtdFrmClsSqlInvkd,0.0,10
MtdNmStrtGet,0.0,10
MtdModPRIVATE,0.0,10
ParamTypCtnDb,0.0,10
RtnTypReq,0.0,10
SoMtdRtnGet,0.0,10
MtdNmCtnObject,0.0,10
InnerCls,0.0,10
source,0.0,10
MtdNmCtnReadNotThread,0.0,11
MtdDecodInvkd,0.0,11
MtdLoadInvkd,0.0,11
RtnTypServlet,0.0,11
MtdFrmClswebInvkd,0.0,11
MtdNmCtnStream,0.0,11
MtdNmCtnCreat,0.0,11
ParamTypCtnSql,0.0,11
ClsNmCtnWeb,0.0,11
ParamTypCtnStr,0.0,11
ClsNmCtnSecurity,0.0,11
MtdReqInvkd,0.0,11
ClsPUBLIC,0.0,11
ParamTypCtnIo,0.0,11
SoMtdRtnDecode,0.0,11
SoMtdRtnLoad,0.0,11
ClsFINAL,0.0,11
ClsNmCtnOutPut,0.0,11
MtdOutPutInvkd,0.0,11
RtnTypCharsequence,0.0,11
MtdCtnParams,0.0,11
MtdNmCtnUnescap,0.0,11
RtnTypByte[],0.0,11
MtdNmCtnDecod,0.0,11
MtdCreatInvkd,0.0,11
ParamTypCtnWeb,0.0,11
MtdReadInvkd,0.0,11
MtdModFINAL,0.0,11
MtdNmCtnPars,0.0,11
SoMtdRtnRead,0.0,11
ParamTypCtnChar[],0.0,11
ClsNmCtnIo,0.0,11
ParamTypCtnByte[],0.0,11
RtnTypNode,0.0,11
ClsNmCtnSql,0.0,11
MtdGetInvkd,0.0,11
SoMtdRtnUnescape,0.0,11
ClsNmCtnNet,0.0,11
MtdFrmClsIoInvkd,0.0,11
MtdFrmClsNetInvkd,0.0,11
ParamTypCtnCharsequence,0.0,11
MtdNmCtnName,0.0,11
ClsAnonymous,0.0,11
ClsSTATIC,0.0,11
MtdNmCtnReq,0.0,11
SoMtdRtnCreate,0.0,11
MtdFrmClsDbInvkd,0.0,11
RtnTypDocument,0.0,11
MtdModPUBLIC,0.0,11
MtdModSTATIC,0.0,11
MtdNmCtnRetriev,0.0,11
ClsNmCtnManager,0.0,11
MtdNmCtnLoadNotPayload,0.0,11
MtdUnescapInvkd,0.0,11
MtdConstructor,0.0,11
ImplicitMtd,0.0,11
ClsNmCtnHtml,0.0,11
SoMtdRtnReq,0.0,11
MtdRtnsConst,0.0,11
