row,dataset_row,base_value,prediction,ClsNmCtnInput,ClsNmEndsReq,ClsAnonymous,ParamTypCtnSql,RtnTypStr,ClsNmCtnHibernate,MtdNmCtnExecute,ClsNmCtnDb,InnerCls,ClsNmEndsEncoder,MtdConstructor,ClsNmCtnJdbc,MtdNmCtnQuery,ParamTypCtnStr,ClsNmCtnDatabase,RtnTypResultSet,MtdCtnParams,ParamTypEqRtnTyp,ImplicitMtd,MtdMakedbInvkd,MtdNmCtnSaniti,ClsNmCtnSql
47,23,0.010804479904311687,0.0007819232630336889,0.0,0.0,0.0,-0.0005897738553414221,-0.0005691267955928419,-0.0015410016563277438,0.0,0.0,0.0,0.0,0.0,0.0,-0.003671232711071009,-0.0026497858339901985,0.0,0.0,0.0009948541312653424,-0.0009791094414876404,0.0,0.0,0.0,-0.0010173804787324842
48,205,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
49,132,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
50,89,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
51,161,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
52,224,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
53,50,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
54,82,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
55,72,0.010804479904311687,0.0012472777615880285,0.0,0.0,0.0,-0.000677173755878944,0.004602174594568629,-0.0017665461783144317,0.0,0.0,0.0,0.0,0.0,0.0,-0.004412343961697442,-0.0036318773041626967,0.0,0.0,-0.0025814773031832467,0.0001632107953729526,0.0,0.0,0.0,-0.0012531690294284772
56,51,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
