ClsNmCtnWeb,MtdNmCtnSend,MtdNmCtnExecut,MtdModFINAL,ClsNmCtnInput,ClsNmEndsReq,ClsNmCtnRedirect,ParamDfSiMtdRun,ParamTypCtnSql,ParamDfSiMtdDump,ParamDfSiMtdStream,MtdWritInvkd,MtdSetInvkd,MtdNmCtnHandl,ParamDfSiMtdLog,MtdModPRIVATE,ClsNmCtnManager,RtnTypResultSet,MtdExecutInvkd,ClsFINAL,ParamDfSiMtdPrint,MtdUpdatInvkd,ClsWebInvkd,MtdNmCtnLog,ParamTypCtnDb,ParamDfSiMtdExecut,MtdRunInvkd,ParamTypCtnStr,ParamDfSiMtdUpdat,MtdReplacInvkd,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,ClsLogInvkd,MtdParsInvkd,ParamTypCtnWeb,ParamDfSiMtdHandl,MtdModPUBLIC,ParamTypCtn.io.,ClsNmEndsRender,MtdNmCtnWrit,InnerCls,MtdLogInvkd,MtdNmCtnPrint,MtdPutInvkd,ClsDbInvkd,ParamTypCtnStringbuilder,ParamDfSiMtdWrit,ClsNmCtnResponse,ClsNmCtnJdbc,MtdNmStrtSet,ClsSTATIC,MtdNmCtnUpdat,MtdNmCtnRedirect,ParamDfSiMtdSet,MtdNmCtnStream,ParamDfSiMtdPut,Implicit method,Cls.io.Invkd,Cls.net.Invkd,ClsNmCtn.io.,MtdHandlInvkd,ClsNmCtnHtml,MtdNmStrtOn,ClsAnonymous,ParamTypCtnChar[],MtdNmCtnReplac,MtdPrintInvkd,ClsNmCtnNet,MtdConstructor,ParamDfSiMtdSend,MtdSendInvkd,MtdNmCtnRun,ParamTypCtnCharsequence,ParamTypCtnByte[],MtdLoneGetterOrSetter,ParamDfSiMtdPars,MtdCtnParams,MtdNmCtnDump,MtdDumpInvkd,ClsNmCtnSql,ClsPUBLIC,MtdNmCtnSetheader
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023580061788199573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024019947064628143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010794130289607603,0.0,0.0,0.0,-0.006210202014692765,0.012645627112712617,0.0,0.0,-0.008997800386350636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041034629654897285,0.0,0.0,0.0,0.0,-0.0026396018679375466,0.0,0.0,0.8237937215336391,0.0,0.0,0.0,0.0,-0.00842492531867395,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006499044708645213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012119980076571588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02208959059291502,0.0,0.0,0.0,-0.014052784902854457,0.005942300383692173,0.0,0.0,-0.015855382798174233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07988730117560729,0.0,0.0,0.0,0.0,-0.003886271545988855,0.0,0.0,-0.07979330224604382,0.0,0.0,0.0,0.0,-0.015998602490034926,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005694385959773286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01271152864141696,0.0,-0.0008959475578427523,0.0,0.0,0.0,0.0,0.0,-0.021762548520301118,0.0,0.0,0.0,-0.013742140909119079,0.0,0.0,0.0,-0.015314066391050181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07928793938845961,0.0,0.0,0.0,0.0,-0.0011220919300575813,0.0,0.0,-0.07946942210972355,0.0,0.0,0.0,0.0,-0.015422985875089841,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005890002211125406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011585817099881244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02208778758414669,0.0,0.0,0.0,-0.01404663338048734,0.006078584791558622,0.0,0.0,-0.015867761822351275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07969273068401293,0.0,0.0,0.0,0.0,-0.003982000599563722,0.0,0.0,-0.08011675863452965,0.0,0.0,0.0,0.0,-0.01598072697522289,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006106217592152066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01215068206857555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02201103324374577,0.0,0.0,0.0,-0.013754258813430013,0.005981382004592584,0.0,0.0,-0.01615495808985749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0801362061160697,0.0,0.0,0.0,0.0,-0.004094301562021053,0.0,0.0,-0.07988335171439796,0.0,0.0,0.0,0.0,-0.01599173694149412,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0063832866532811125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012246128680394415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022012406011547015,0.0,0.0,0.0,-0.014028617106353397,0.0060407612374300534,0.0,0.0,-0.016035440516962034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08009994791460065,0.0,0.0,0.0,0.0,-0.0039006229171308013,0.0,0.0,-0.07985768123969472,0.0,0.0,0.0,0.0,-0.015968887558254742,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027611529157895573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024699367567057883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009293490424142313,0.0,0.0,0.0,-0.006445728356722323,0.011150267660411625,0.0,0.0,-0.008853021598156971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04038885069187586,0.0,0.0,0.0,0.0,-0.0017130085312077048,0.0,0.0,0.8218200184131266,0.0,0.0,0.0,0.0,-0.008214401122701482,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006053356047986132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012067708469613702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02181790200132662,0.0,0.0,0.0,-0.014032968604090743,0.006044100848977829,0.0,0.0,-0.015865830132386023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08003931722399717,0.0,0.0,0.0,0.0,-0.003920507557772115,0.0,0.0,-0.07999254244386576,0.0,0.0,0.0,0.0,-0.016389385307167,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006055424849670993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012191610074320921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02203493937971623,0.0,0.0,0.0,-0.014009600880699738,0.005976814255451934,0.0,0.0,-0.016216551604099204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08002434920732458,0.0,0.0,0.0,0.0,-0.004053485129581705,0.0,0.0,-0.07983130401105527,0.0,0.0,0.0,0.0,-0.015942769267625136,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004625168973503291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002174539395049836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10776095091054236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010312635017173302,0.0,0.0,0.0,-0.007679559489467025,0.0,0.0,0.0,-0.007107704164301515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03551561136424991,0.0,0.0,0.0,0.0,-0.001747584302839452,0.0,0.0,-0.03904156720979312,0.0,0.0,0.0,0.0,-0.008197331249233202,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0062182246495174395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012139122072560671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022096482181068598,0.0,0.0,0.0,-0.013974440578751508,0.006046298059626698,0.0,0.0,-0.01601689346440355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.079930970810193,0.0,0.0,0.0,0.0,-0.0039596183284010605,0.0,0.0,-0.08011079670194843,0.0,0.0,0.0,0.0,-0.01587799341790382,0.0,0.0
